Time,raw_INTAKE_PRESSURE,raw_RPM,raw_SPEED
2.280000000000000000e+02,1.050000000000000000e+02,1.256000000000000000e+03,2.900000000000000000e+01
2.290000000000000000e+02,nan,nan,nan
2.300000000000000000e+02,1.010000000000000000e+02,1.202000000000000000e+03,2.700000000000000000e+01
2.310000000000000000e+02,nan,nan,nan
2.320000000000000000e+02,1.110000000000000000e+02,1.437000000000000000e+03,2.800000000000000000e+01
2.330000000000000000e+02,nan,nan,nan
2.340000000000000000e+02,1.430000000000000000e+02,1.471000000000000000e+03,3.300000000000000000e+01
2.350000000000000000e+02,nan,nan,nan
2.360000000000000000e+02,1.090000000000000000e+02,1.573000000000000000e+03,3.600000000000000000e+01
2.370000000000000000e+02,nan,nan,nan
2.380000000000000000e+02,nan,1.650500000000000000e+03,3.800000000000000000e+01
2.390000000000000000e+02,nan,nan,nan
2.400000000000000000e+02,1.080000000000000000e+02,1.690500000000000000e+03,3.900000000000000000e+01
2.410000000000000000e+02,nan,nan,nan
2.420000000000000000e+02,1.030000000000000000e+02,1.591500000000000000e+03,3.700000000000000000e+01
2.430000000000000000e+02,nan,nan,nan
2.440000000000000000e+02,1.130000000000000000e+02,1.512500000000000000e+03,3.400000000000000000e+01
2.450000000000000000e+02,nan,nan,nan
2.460000000000000000e+02,1.070000000000000000e+02,1.576500000000000000e+03,3.600000000000000000e+01
2.470000000000000000e+02,nan,nan,3.400000000000000000e+01
2.480000000000000000e+02,1.180000000000000000e+02,1.516000000000000000e+03,nan
2.490000000000000000e+02,nan,nan,3.200000000000000000e+01
2.500000000000000000e+02,9.800000000000000000e+01,1.418000000000000000e+03,nan
2.510000000000000000e+02,nan,1.332500000000000000e+03,3.000000000000000000e+01
2.520000000000000000e+02,1.070000000000000000e+02,nan,nan
2.530000000000000000e+02,nan,1.524000000000000000e+03,3.500000000000000000e+01
2.540000000000000000e+02,1.200000000000000000e+02,nan,nan
2.550000000000000000e+02,1.170000000000000000e+02,1.566000000000000000e+03,3.600000000000000000e+01
2.560000000000000000e+02,nan,nan,nan
2.570000000000000000e+02,1.250000000000000000e+02,1.714000000000000000e+03,3.900000000000000000e+01
2.580000000000000000e+02,nan,nan,nan
2.590000000000000000e+02,1.120000000000000000e+02,1.643500000000000000e+03,4.200000000000000000e+01
2.600000000000000000e+02,nan,nan,nan
2.610000000000000000e+02,1.110000000000000000e+02,1.404000000000000000e+03,4.300000000000000000e+01
2.620000000000000000e+02,nan,nan,nan
2.630000000000000000e+02,1.100000000000000000e+02,1.437500000000000000e+03,4.400000000000000000e+01
2.640000000000000000e+02,nan,nan,nan
2.650000000000000000e+02,nan,1.313500000000000000e+03,4.300000000000000000e+01
2.660000000000000000e+02,nan,nan,nan
2.670000000000000000e+02,1.030000000000000000e+02,1.221500000000000000e+03,3.900000000000000000e+01
2.680000000000000000e+02,nan,nan,nan
2.690000000000000000e+02,9.800000000000000000e+01,1.179000000000000000e+03,2.700000000000000000e+01
2.700000000000000000e+02,nan,nan,nan
2.710000000000000000e+02,1.160000000000000000e+02,1.235000000000000000e+03,2.500000000000000000e+01
2.720000000000000000e+02,nan,nan,nan
2.730000000000000000e+02,1.460000000000000000e+02,1.425000000000000000e+03,3.200000000000000000e+01
2.740000000000000000e+02,nan,nan,nan
2.750000000000000000e+02,1.150000000000000000e+02,1.625500000000000000e+03,3.700000000000000000e+01
2.760000000000000000e+02,nan,nan,nan
2.770000000000000000e+02,1.040000000000000000e+02,1.580500000000000000e+03,nan
2.780000000000000000e+02,nan,nan,nan
2.790000000000000000e+02,1.120000000000000000e+02,1.453500000000000000e+03,3.400000000000000000e+01
2.800000000000000000e+02,nan,nan,3.000000000000000000e+01
2.810000000000000000e+02,1.130000000000000000e+02,1.277500000000000000e+03,nan
2.820000000000000000e+02,nan,nan,2.200000000000000000e+01
2.830000000000000000e+02,1.070000000000000000e+02,8.965000000000000000e+02,nan
2.840000000000000000e+02,nan,nan,1.100000000000000000e+01
2.850000000000000000e+02,1.030000000000000000e+02,8.040000000000000000e+02,nan
2.860000000000000000e+02,nan,7.455000000000000000e+02,5.000000000000000000e+00
2.870000000000000000e+02,1.020000000000000000e+02,nan,nan
2.880000000000000000e+02,nan,7.725000000000000000e+02,0.000000000000000000e+00
2.890000000000000000e+02,nan,nan,nan
2.900000000000000000e+02,nan,7.940000000000000000e+02,nan
2.910000000000000000e+02,1.010000000000000000e+02,nan,nan
2.920000000000000000e+02,1.130000000000000000e+02,1.541000000000000000e+03,8.000000000000000000e+00
2.930000000000000000e+02,nan,nan,nan
2.940000000000000000e+02,1.250000000000000000e+02,1.735500000000000000e+03,1.700000000000000000e+01
2.950000000000000000e+02,nan,nan,nan
2.960000000000000000e+02,1.240000000000000000e+02,1.731500000000000000e+03,2.500000000000000000e+01
2.970000000000000000e+02,nan,nan,nan
2.980000000000000000e+02,1.130000000000000000e+02,1.320500000000000000e+03,3.000000000000000000e+01
2.990000000000000000e+02,nan,nan,nan
3.000000000000000000e+02,1.070000000000000000e+02,1.350500000000000000e+03,nan
3.010000000000000000e+02,nan,nan,nan
3.020000000000000000e+02,1.140000000000000000e+02,1.572500000000000000e+03,3.600000000000000000e+01
3.030000000000000000e+02,nan,nan,nan
3.040000000000000000e+02,1.120000000000000000e+02,1.701000000000000000e+03,3.900000000000000000e+01
3.050000000000000000e+02,nan,nan,nan
3.060000000000000000e+02,1.080000000000000000e+02,1.711000000000000000e+03,4.000000000000000000e+01
3.070000000000000000e+02,nan,nan,nan
3.080000000000000000e+02,1.120000000000000000e+02,1.603000000000000000e+03,3.700000000000000000e+01
3.090000000000000000e+02,nan,nan,nan
3.100000000000000000e+02,1.100000000000000000e+02,1.357500000000000000e+03,3.200000000000000000e+01
3.110000000000000000e+02,nan,nan,2.100000000000000000e+01
3.120000000000000000e+02,1.060000000000000000e+02,8.200000000000000000e+02,nan
3.130000000000000000e+02,nan,nan,9.000000000000000000e+00
3.140000000000000000e+02,1.030000000000000000e+02,7.830000000000000000e+02,nan
3.150000000000000000e+02,nan,7.560000000000000000e+02,2.000000000000000000e+00
3.160000000000000000e+02,1.020000000000000000e+02,nan,nan
3.170000000000000000e+02,4.500000000000000000e+01,5.555000000000000000e+02,0.000000000000000000e+00
3.180000000000000000e+02,nan,nan,nan
3.190000000000000000e+02,1.020000000000000000e+02,0.000000000000000000e+00,nan
3.200000000000000000e+02,nan,nan,nan
3.210000000000000000e+02,nan,nan,nan
3.220000000000000000e+02,nan,nan,nan
3.230000000000000000e+02,nan,nan,nan
3.240000000000000000e+02,nan,nan,nan
3.250000000000000000e+02,nan,nan,nan
3.260000000000000000e+02,nan,nan,nan
3.270000000000000000e+02,nan,nan,nan
3.280000000000000000e+02,nan,nan,nan
3.290000000000000000e+02,nan,nan,nan
3.300000000000000000e+02,nan,nan,nan
3.310000000000000000e+02,nan,nan,nan
3.320000000000000000e+02,nan,nan,nan
3.330000000000000000e+02,nan,7.845000000000000000e+02,2.000000000000000000e+00
3.340000000000000000e+02,nan,nan,nan
3.350000000000000000e+02,1.200000000000000000e+02,1.818000000000000000e+03,1.100000000000000000e+01
3.360000000000000000e+02,nan,nan,nan
3.370000000000000000e+02,1.190000000000000000e+02,1.643500000000000000e+03,1.900000000000000000e+01
3.380000000000000000e+02,nan,nan,2.500000000000000000e+01
3.390000000000000000e+02,1.160000000000000000e+02,1.750500000000000000e+03,nan
3.400000000000000000e+02,nan,nan,2.600000000000000000e+01
3.410000000000000000e+02,1.070000000000000000e+02,1.693000000000000000e+03,nan
3.420000000000000000e+02,nan,1.609000000000000000e+03,2.400000000000000000e+01
3.430000000000000000e+02,nan,nan,nan
3.440000000000000000e+02,1.100000000000000000e+02,1.464000000000000000e+03,2.200000000000000000e+01
3.450000000000000000e+02,nan,nan,nan
3.460000000000000000e+02,1.080000000000000000e+02,1.204500000000000000e+03,1.800000000000000000e+01
3.470000000000000000e+02,nan,nan,nan
