# Time,raw_RPM,raw_SPEED
3.900000000000000000e+02,1.618000000000000000e+03,nan
3.910000000000000000e+02,nan,nan
3.920000000000000000e+02,1.611000000000000000e+03,nan
3.930000000000000000e+02,nan,nan
3.940000000000000000e+02,1.526500000000000000e+03,6.500000000000000000e+01
3.950000000000000000e+02,nan,nan
3.960000000000000000e+02,1.494000000000000000e+03,6.400000000000000000e+01
3.970000000000000000e+02,nan,nan
3.980000000000000000e+02,1.460500000000000000e+03,6.200000000000000000e+01
3.990000000000000000e+02,nan,nan
4.000000000000000000e+02,1.451500000000000000e+03,nan
4.010000000000000000e+02,nan,nan
4.020000000000000000e+02,1.534500000000000000e+03,6.100000000000000000e+01
4.030000000000000000e+02,nan,nan
4.040000000000000000e+02,1.567500000000000000e+03,6.600000000000000000e+01
4.050000000000000000e+02,nan,nan
4.060000000000000000e+02,1.726000000000000000e+03,7.300000000000000000e+01
4.070000000000000000e+02,nan,nan
4.080000000000000000e+02,1.303000000000000000e+03,7.400000000000000000e+01
4.090000000000000000e+02,nan,7.300000000000000000e+01
4.100000000000000000e+02,1.367000000000000000e+03,nan
4.110000000000000000e+02,nan,nan
4.120000000000000000e+02,1.351000000000000000e+03,nan
4.130000000000000000e+02,nan,7.200000000000000000e+01
4.140000000000000000e+02,1.352000000000000000e+03,nan
4.150000000000000000e+02,nan,nan
4.160000000000000000e+02,1.351500000000000000e+03,nan
4.170000000000000000e+02,1.350500000000000000e+03,nan
4.180000000000000000e+02,nan,nan
4.190000000000000000e+02,1.351000000000000000e+03,nan
4.200000000000000000e+02,nan,nan
4.210000000000000000e+02,1.344000000000000000e+03,nan
4.220000000000000000e+02,nan,nan
4.230000000000000000e+02,1.344500000000000000e+03,nan
4.240000000000000000e+02,nan,nan
4.250000000000000000e+02,1.347000000000000000e+03,nan
4.260000000000000000e+02,nan,nan
4.270000000000000000e+02,1.281000000000000000e+03,7.000000000000000000e+01
4.280000000000000000e+02,nan,nan
4.290000000000000000e+02,1.452000000000000000e+03,6.200000000000000000e+01
4.300000000000000000e+02,nan,nan
4.310000000000000000e+02,1.338000000000000000e+03,5.700000000000000000e+01
4.320000000000000000e+02,nan,nan
4.330000000000000000e+02,1.245500000000000000e+03,5.300000000000000000e+01
4.340000000000000000e+02,nan,nan
4.350000000000000000e+02,1.550000000000000000e+03,4.900000000000000000e+01
4.360000000000000000e+02,nan,nan
4.370000000000000000e+02,1.442500000000000000e+03,4.500000000000000000e+01
4.380000000000000000e+02,nan,4.200000000000000000e+01
4.390000000000000000e+02,1.344500000000000000e+03,nan
4.400000000000000000e+02,nan,3.700000000000000000e+01
4.410000000000000000e+02,1.294500000000000000e+03,nan
4.420000000000000000e+02,nan,nan
4.430000000000000000e+02,1.485000000000000000e+03,3.400000000000000000e+01
4.440000000000000000e+02,nan,3.200000000000000000e+01
4.450000000000000000e+02,1.372500000000000000e+03,nan
4.460000000000000000e+02,nan,3.100000000000000000e+01
4.470000000000000000e+02,1.322000000000000000e+03,nan
4.480000000000000000e+02,nan,2.900000000000000000e+01
4.490000000000000000e+02,1.255500000000000000e+03,nan
4.500000000000000000e+02,1.065000000000000000e+03,2.500000000000000000e+01
4.510000000000000000e+02,nan,nan
4.520000000000000000e+02,8.280000000000000000e+02,2.000000000000000000e+01
4.530000000000000000e+02,nan,nan
4.540000000000000000e+02,8.005000000000000000e+02,1.600000000000000000e+01
4.550000000000000000e+02,nan,nan
4.560000000000000000e+02,7.535000000000000000e+02,1.000000000000000000e+01
4.570000000000000000e+02,nan,nan
4.580000000000000000e+02,7.540000000000000000e+02,9.000000000000000000e+00
4.590000000000000000e+02,nan,nan
4.600000000000000000e+02,1.365000000000000000e+03,1.300000000000000000e+01
4.610000000000000000e+02,nan,nan
4.620000000000000000e+02,1.427000000000000000e+03,1.700000000000000000e+01
4.630000000000000000e+02,nan,nan
4.640000000000000000e+02,1.235000000000000000e+03,1.900000000000000000e+01
4.650000000000000000e+02,nan,nan
4.660000000000000000e+02,1.208000000000000000e+03,1.800000000000000000e+01
4.670000000000000000e+02,nan,nan
4.680000000000000000e+02,1.205000000000000000e+03,1.600000000000000000e+01
4.690000000000000000e+02,nan,1.900000000000000000e+01
4.700000000000000000e+02,1.431000000000000000e+03,nan
4.710000000000000000e+02,nan,nan
4.720000000000000000e+02,1.216000000000000000e+03,nan
4.730000000000000000e+02,nan,nan
4.740000000000000000e+02,1.061500000000000000e+03,1.700000000000000000e+01
4.750000000000000000e+02,nan,nan
4.760000000000000000e+02,7.920000000000000000e+02,1.500000000000000000e+01
4.770000000000000000e+02,nan,1.400000000000000000e+01
4.780000000000000000e+02,9.995000000000000000e+02,nan
4.790000000000000000e+02,nan,1.800000000000000000e+01
4.800000000000000000e+02,1.409500000000000000e+03,nan
4.810000000000000000e+02,1.153500000000000000e+03,nan
4.820000000000000000e+02,nan,nan
4.830000000000000000e+02,9.680000000000000000e+02,1.600000000000000000e+01
4.840000000000000000e+02,nan,nan
4.850000000000000000e+02,7.685000000000000000e+02,1.400000000000000000e+01
4.860000000000000000e+02,nan,nan
4.870000000000000000e+02,7.610000000000000000e+02,1.300000000000000000e+01
4.880000000000000000e+02,nan,nan
4.890000000000000000e+02,9.945000000000000000e+02,1.400000000000000000e+01
4.900000000000000000e+02,nan,nan
4.910000000000000000e+02,1.129500000000000000e+03,1.500000000000000000e+01
4.920000000000000000e+02,nan,nan
4.930000000000000000e+02,8.945000000000000000e+02,1.400000000000000000e+01
4.940000000000000000e+02,nan,nan
4.950000000000000000e+02,1.063000000000000000e+03,nan
4.960000000000000000e+02,nan,nan
4.970000000000000000e+02,7.970000000000000000e+02,nan
4.980000000000000000e+02,nan,nan
4.990000000000000000e+02,7.580000000000000000e+02,1.300000000000000000e+01
5.000000000000000000e+02,nan,1.200000000000000000e+01
5.010000000000000000e+02,7.595000000000000000e+02,nan
5.020000000000000000e+02,nan,nan
5.030000000000000000e+02,7.680000000000000000e+02,1.100000000000000000e+01
5.040000000000000000e+02,nan,nan
5.050000000000000000e+02,7.560000000000000000e+02,nan
5.060000000000000000e+02,nan,nan
5.070000000000000000e+02,1.190000000000000000e+03,nan
5.080000000000000000e+02,1.085500000000000000e+03,1.400000000000000000e+01
5.090000000000000000e+02,nan,nan
5.100000000000000000e+02,7.975000000000000000e+02,nan
5.110000000000000000e+02,nan,nan
5.120000000000000000e+02,9.880000000000000000e+02,nan
5.130000000000000000e+02,nan,nan
5.140000000000000000e+02,9.285000000000000000e+02,nan
5.150000000000000000e+02,nan,nan
5.160000000000000000e+02,7.720000000000000000e+02,1.300000000000000000e+01
5.170000000000000000e+02,nan,nan
5.180000000000000000e+02,7.625000000000000000e+02,1.200000000000000000e+01
5.190000000000000000e+02,nan,nan
5.200000000000000000e+02,7.555000000000000000e+02,1.100000000000000000e+01
5.210000000000000000e+02,nan,nan
5.220000000000000000e+02,nan,1.000000000000000000e+01
5.230000000000000000e+02,nan,nan
5.240000000000000000e+02,7.175000000000000000e+02,8.000000000000000000e+00
5.250000000000000000e+02,nan,nan
5.260000000000000000e+02,7.590000000000000000e+02,nan
5.270000000000000000e+02,nan,nan
5.280000000000000000e+02,7.745000000000000000e+02,9.000000000000000000e+00
